Müşteri No,Müşteri Adı,Telefon,GSM,Email,Adres,İlçe,Vergi Dairesi,Vergi No
MN000075,Glaxosmithklinf İlaçları San.Tic.Aş,0212  339 44 00,,,"Büyükdere Cad. 1. Levent Plaza B Blok No :173
Levent/İSTANBUL",Levent,B.Mükellefler,396 005 0129
MN000076,Gürçay Gıda Sanayi Ve Nak. Tic. A.Ş.,0462786 24 33,0533457 75 83,,,BAYRAMPAŞA,,
MN000077,Murat Çorap San.Ve Tic.A.Ş.,0212 630 25 72,,,"Bağlar Mah,mehmet Akif Cd. No:29 Bağcılar / Güneşli",Bağcılar,Mercan,624 00 11291
MN000078,Doğuşçay Ve Gıda.Mad.Ür.Paz.A.Ş,04522339999o,0452 233 96 66,info@doguscay.com.tr,"KARAPINAR MAH MÜNÜR TERCAN CAD NO:42 ORG.SAN.BÖL 
",,KÖPRÜBAŞI,3090080411
MN000079,Melodi Çikolata Ve Gıd.San.Tic.A.Ş,0212 620 30 30,,nihal@melodi.com.tr,Zafer Mah. 133. sok no:4/1,Esenyurt,M.KURUMLAR,6140595594
MN000080,Tekpar Parça San Ve Tic. Aş,0216 465 97 28, 0532 364 65 12 ,,Göztepe Mh. Göksu Evleri Orkide sk.no:9 villa B78A İstanbul / beykoz,Beykoz,Beykoz,836 004 1217 
MN000081,Timaş Aş.,0216 593 05 55,,,S.S Boya Ve Vernikçiler Org.Sn.Böl. Tem 20 Yolu 5. Sk. 1.Cd.No:12/14   Tuzla/İst.,Tuzla ,Boğaziçi ,844 003 4153
MN000082,Abfen Farma San. Tic.Ltd.Şti,0312 234 16 88,0532 768 73 26,,"Gersan San. Sitesi Arif Halıcı Sok. No: 40 Batikent Yenimahalle, Ankara ",Yenimahalle,Etimesgut,0010541416
MN000083,Uzman Kozm.Kimya San.A.Ş,0262 658 00 99,,,Şekerpınar Mah.Özbek Sk. No: 4 Çayırova / Kocaeli,Çayırova,İlyasbey,9010160148
MN000084,Vivet Kozmetik San Tic. Ltd. Şti,0212 671 22 27,0533 817 95 71,info@vivetkozmetik.com,İkitelli Org.San.Böl. Esot San.Sit B Blok N:14,Başakşehir,ikitelli,9250360724
MN000085,Kuğu Şekerleme San. Ve Tic.Ltd.Şti,0 332 342 16 21,,bilgi@kugusekerleme.com,Fevzi Çakmak Mahallesi. Yeni Şekerciler Sitesi. 10549. Sokak No:5,Karatay,,
MN000086,Patimax / Hasan Elmas,0232 264 69 89,0533 230 12 30,hasanelmas@patimax.Com,Celal Bayar Bulv.Yeni Keresteciler Sit. No: 49 Menderes / İzmir ,Menderes,Menderes ,220 4653 0204
MN000087,Kare Tasarım Medya Promosyon Doğal Taş Hizmetleri,0212 262 07 66,,,,,,
MN000088,Asal Boya Kimya San.Ve Tic Ltd.Şti,294 66 00 ,,,"Merkez Mh,çelik Sk, No: 26/A Kağıthane / İst",Kağıthane,Kağıhane,086 002 7740
MN000089,Glaxosmithkline İlaçları San. Ve Tic. A.Ş,(0212) 339 44 00,,info@gsk.com.tr,"Büyükdere Cad. 1. Levent Plaza No:173 B Blok
",Levent,,
MN000090,Hayat Kimya San. A.Ş,0216 554 40 00,,hayat@hayat.com.tr,Mahir İz Cad. No:25 Altunizade,Üsküdar,büyükmükellefler,460001047
MN000091,Pepsi Cola Servis Ve Dağıtım Ltd. Şti.,212 319 30 00,,muge.kunter@pepsico.com,Tekfen Tower Büyükdere cad. no.209,4.Levent,Büyükmükellefler,7280296953
MN000092,Tuborg Paz. A.Ş,02323992000,,tugce.cetin@turktuborg.com.tr,Kemalpaşa Cad. no:52,Işıkkent,,
MN000093,Renk Plast S. T. Aş., 212 672 75 00 ,,info@renkpkplast.com.tr,Örnek Mah. Evren San. Sit. 2.Kısım B Girişi Yanı,Esenyurt,Marmara Kurumlar,7340585040
MN000094,Dalan Kimya Endüstri A.Ş.,0 232 479 0951,,info@dalan.com.tr,Kemalpaşa Cad. No.325,Pınarbaşı,hasan tahsin,2670059780
MN000095,Promsan Prom Ltd.Şti.,0216 418 74 56,,,Acıbadem Yıldız Bakkal İsmail Hakkı Bey Sk. Bent Apt N:2/6   Kadıköy/ist,Kadıköy,Kadıköy,7330036888
MN000096,A4 Grafik Mat. Yay. Rek. Ve Bilg. Hizm. Ltd. Şti.,212 452 40 99  ,0530  227 71 08      ,info@a4grafik.com.tr,Mahmutbey Cad. Meriç Sk.No:26 Kat:1,Şirinevler,Kocasinan,0010436858   
MN000097,Alfa Tanıtım Ve Gıda S.T.Ltd.Şti.,0212  516 29 89,0532 427 13 58,,"Türkeli Caddesi No: 117,
Nişanca Pasajı Kumkapı, 
İstanbul",Kumkapı,Beyazıt,051 002 9608
MN000098,Ada Reklam Ltd.Şti.,212 213 27 77,,,"Esentepe Mah.Gazeteciler Sit. Keskinkalem Sok.No.37 D.1 
",Şişli,Zincirlikuyu,0070527432 
MN000099,Tuğra Tic.Koz.Ahmet C.Yıldırım,0212 512-10-92,,,Organize San. Bölgesi. Esot San. Sitesi M Blok No:4 İkitelli-başakşehir/istanbul,İkitelli,,
MN000100,Adalar Kimya San.Tic.Ltd.Şti., 262 724 89 07 ,,info@adalarkimya.com,"Dilovası Organize Sanayi Bölgesi 4. Kısım,

Ceyhan Caddesi, No: 8",Gebze,Uluçınar ,0070195502
MN000101,Rapsodi Çikolata San Ve Tic. Aş.,0 (342) 337 47 47,,info@rapsodigida.com,3. Organize Sanayi Bölgesi 83229 Nolu Cadde No: 13,Başpınar,Gazikent,7340739462
MN000102,Hürmet Çikolata Şekerleme Gıda Sanayi Ve Ticaret Ltd.Şti.,0332 342 29 93 ,,, BÜYÜKKAYACIKOSB MH. 416 SK. NO:8/1 SELÇUKLU/KONYA,selçuklu,selçuk,4640059101
MN000103,Allpack Paper Products Ltd.,90 212 7099030,,info@allpack.com.tr,,,,
MN000104,Belgin Madeni Yağ Aş.,0262 751 02 92,0532 342 03 80 Hakan Bey,info@belginoil.com,Gebze Org.San.Böl. İhsandede Cd. N:125  Gebze/kocaeli,Gebze,İlyasbey ,1630012137
MN000105,Bes Kağuçuk San.Tic.Ltd.Şti.,0212 771 12 71,,," Yassıören Mah. Akpınar San. Sitesi Mediha Sok. No:14 
  Hadımköy / Arnavutköy ",Hadımköy,Boğaziçi ,1270390374
MN000106,Beta Proses Özel Kimya Ltd.Şti.,0212 623 18 54,,,Hoşdere Mevkii Isıso Sanayi Sitesi V.2 Blok No:9 Esenyurt/İSTANBUL,Esenyurt,Boğaziçi Kurumlar ,1670011033
MN000107,Boysan Boya  San.Tic.Aş.,0212 290 60 70,,bisarcosmetic@bisarcosmetic.com,Giz 2000 Plaza Kat:13 Daire:49-50 Maslak - İst,Maslak,Dış ticaret,182 002 4463
MN000109,Bu Endüstri Kimya Aş.,0212 876 00 11,,,Org.San.Böl.Mermerciler San.Sit. 14 Cd.41/A  B.Düzü / İst,Beylikdüzü,Beylikdüzü,1870548154
MN000110,Bericap Kapak San..Aş,0262 653 25 90,,,Beylikbağı Mh. Çelikoğlu Cd. No:155 Gebze-KOCAELİ,Gebze,Ulıçınar,165 028 4977
MN000111,Tekstüre Çorap San.Tic.Aş.,212 482 10 33,0532 461 0189,sales@teksture.com,YILANLI AYAZMA SK. N:20  ,zeytinburnu,dış ticaret   ,8360048940
MN000112,Tempo Şekerleme San.Tic.Ltd.Şti,0 212 798 25 35,,info@tempocandy.com,Adnan Kahveci Cd.Koskoop San Sit 2. Cd.N:5,Hadımköy,Çatalca ,8380049437   
MN000113,Tetaş İç Ve Dış Tic.Aş.,212 8669100,05335915839,tetas@tetas.gov.tr,Akçaburgaz Mah. Hadımköy Yolu 3047. Sokak No: 2 ,Esenyurt,Büyük Mükellefler,8400053652   
MN000114,Topsit Tic.Org.Plan.Sn.Tur.Aş.,0216 574 47 40,0532 225 66 08,topsit@topsit.com.tr,"Dudullu OSB, DES Sanayi Sitesi 117 Sokak C28 Blok No: 14",Y.dudullu,KOZYATAĞI,855 001 3257
MN000115,Tukaş Gıda San.Aş.,0 232 865 15 55 ,,info@tukas.com.tr,Çaybaşı Mah. İzmir Cad. No:5,Torbalı,Turgutsu,8610005104  
MN000116,Green Etiket,,0535 985 12 72,nesimi@greenetiket.com.tr,,,,
MN000117,Ansan İç Ve Dış Tic Paz Ltd Şti,0212 422 05 06,0532 363 76 21,hakan.karatas@ansan.com.tr,Cihangir Mah. Petrol Ofisi Cad. Uğur Hancı sk. no:12 ,Avcılar,,
MN000118,Niziplioğlu Otelcilik Emlak İnş.Turizm San.Ve San. Tic. Ltd. Şti.,0212 664 75 70,0532 172 76 79,sezinucar@niziplioglu.com,Merkezefendi Mah. Mevlana Cad. no:1121 ,Zeytinburnu,,
MN000119,Sütaş Süt Ürünleri A.Ş,,,,,,,
MN000120,Adel Kalemcilik Tic. Ve San. A.Ş,0850 677 70 00,,burcu.gucyeter@adel.com.tr,Şekerpınar Mah. Yanyol Sok. No.7 ,Çayırova,,
MN000121,Numil Gıda Ürünleri San.Tic.A.Ş,02123852600,05309405002,yasin.aktas@danone.com.tr,Levent Mahallesi Cömert Sokak.Yapı Kredi Plaza B/Blok No:1-B,Beşiktaş,Büyükmükellefler,2310001525
MN000122,Hersan Helva Reçel Gıda San. Ve Tic. A.Ş,212 428 59 59,0532425 4839,muhammedalikoc@gmail.com,İncirtepe Mah. Doğan Araslı Bulvarı 229 sk. no:3 Esenyurt-Bçekmece/İST.,Esenyurt,,
MN000123,Febar Kozmetik Sanayi,,,,,,,
MN000124,Bind Tatlı Çikolata San. Ve Tic. A.Ş.,0282 684 32 69,0549 724 35 07,satinalma@bind.com.tr,Seymen Köyü Balabandere Mevkii E-5 Karayolu Üzeri ,Çorlu,,
MN000125,Tibet İthalat İhracat Ve Kozmetik San. A.Ş,0216 595 05 00,,bcesmelilerbas@tibet.com.tr,"Tibet Üretim Tesisleri Ankara Cad. no:344 
",Pendik,,
MN000126,Adıgüzel Kağıt Tic.San.Ltd.Şti., 0212 567 75 24,,,Litros Yolu 2. Matbaacılar San.Sit C Blok NO: 1 BC7Topkapı-İst ,Topkapı,,
MN000127,Harem İstanbul Gıda Sanayi Ve Ticaret Limited Şirketi,,,,"Küçükbakkalköy Mahallesi , Yenidoğan Caddesi Hazar Sokak Harem Plaza No: 11",Ataşehir,,
MN000128,Aym Ambalaj San Tic.Aş, 0212 552 07 46,0533 629 89 17,,SELİMPAŞA MERKEZ MAH.603.CD.NO:3 SİLİVRİ/ İSTANBUL,Silivri ,Silivri,9030045152
MN000129,Adalar Kim.San.Tic.Ltd.Şti.,0212 221 21 51,,,Perpa Tic.Merkezi A Blok K:9 N:1238  Okmeydanı/ist,Okmeydanı,Şişli,701955502
MN000130,Aka Boya San.Tic.Aş.,0212 577 25 46,,info@akaboya.com.tr,Marangozlar Sit.Mobilyacılar S.O.Böl N:43 Eyüp/ist,Eyüp ,Rami,110050224
MN000131,Akel İnşaat Ltd.Şti.,0216 467 26 91,,,Merdivenköy Mh.Şair Arşi Sk.Gençler Apt.No:66 D:3  Göztepe/ist,Göztepe,göztepe,230009603
MN000132,Tafe Gıda Maddeleri San Ve Tic. A.Ş.,0262 751 38 14,0533 096 21 52,nurcancilingir@tafegida.com,Gebze Plastikçiler Organize San Böl 12.sok no:6,Gebze,,
MN000133,Baharsu San. Ve Tic. A.Ş.,0850 221 12 00,0534 516 81 21,info@baharsu.com.tr,Kısıklı Mah. Alemdağ Cad. no:60 B blok ,Üsküdar,,
MN000134,Nobel Pazarlama Ltd. Şti.,0216 499 07 07,0530 303 84 76,dimes@diren.com,Emek Mah. Sıvat Cad. no:4/1 ,Sancaktepe,,
MN000135,Tanen Gıda Üretim Ve Pazarlama A.Ş,212 278 75 79,0505 766 57 25,info@tanengida.com,Nato Cad. Seyrantepe Mah. Çınarlı Sk. no:19 ,Kağıthane,,
MN000136,On-Net Dış Tic Ve Danışmanlık A.Ş.,0216 404 11 33,,www.onnetb2b.com,Rüzgarlı Bahçe Mah. Ardıç Sok. no:3 Acarlar İş. Merkezi F blok K.8 ,Beykoz,,
MN000137,Görgülü Pastaneleri,0212 486 26 59,0532 707 49 14,info@gorgulupastaneleri.com.tr,Biksan Sanayi Sitesi Sosyal Tesisleri Kat:1 No:1 Organize Sanayi Bölgesi ,İkitelli,,
MN000138,Pensan Kalem Ve Kağıt San. Tic. A.Ş,0212 598 04 72,0530 065 28 18,e.yazici@pensan.com.tr," Tefıkbey Mah.tahsıntekoglu Cad No 25, ",Sefaköy,,
MN000139,Nar Doğal Ürünler Turizm Ticaret Ve  Sanayi A.Ş,,,,,,,
